command:
\xampp\apache\bin\ab -k -c 100 -n 1000 -e nasa_neo_stats http://localhost/nasa_neo/

Percentage served,Time in ms
0,54.968
1,60.965
2,63.964
3,66.962
4,70.959
5,77.955
6,86.950
7,97.944
8,108.938
9,120.931
10,137.921
11,152.913
12,163.906
13,180.897
14,196.888
15,206.881
16,230.868
17,257.853
18,285.836
19,339.806
20,370.789
21,381.783
22,394.775
23,422.759
24,436.751
25,452.742
26,464.735
27,517.705
28,557.681
29,624.642
30,709.594
31,727.585
32,747.572
33,754.569
34,769.560
35,783.553
36,794.547
37,804.541
38,829.526
39,855.511
40,871.504
41,892.491
42,946.459
43,980.440
44,1004.427
45,1041.406
46,1064.393
47,1086.380
48,1134.352
49,1161.337
50,1182.325
51,1200.315
52,1221.304
53,1245.289
54,1280.269
55,1301.257
56,1338.236
57,1381.211
58,1422.188
59,1446.174
60,1488.151
61,1534.125
62,1552.114
63,1574.100
64,1592.090
65,1602.086
66,1635.067
67,1670.047
68,1723.015
69,1739.007
70,1782.982
71,1824.958
72,1872.933
73,1920.903
74,1960.881
75,2020.846
76,2065.821
77,2120.789
78,2227.728
79,2285.695
80,2333.668
81,2361.653
82,2432.611
83,2533.554
84,2623.502
85,2728.442
86,2835.382
87,2942.320
88,3052.259
89,3172.189
90,3344.090
91,3523.988
92,3642.919
93,3760.852
94,3973.730
95,4077.671
96,4416.478
97,4708.312
98,4937.180
99,5402.916
100,6932.042
